  Build Version     Release
23.01.0.53          2301
22.11.0.12          2211
22.10.0.44          2210
22.09.0.9           2209
22.08.1.43        2208.1
22.06.1.51        2206.1
22.04.0.44          2204
22.03.0.27        2203.1
22.01.0.23          2201
21.12.0.32          2112
21.11.0.28          2111
21.09.1.32        2109.1
21.09.0.28          2109
21.08.1.27        2108.1
21.08.0.15          2108
21.07.0.4           2107
21.06.0.31          2106
21.04.0.14          2104
21.02.0.29          2102
21.01.0.21          2101
20.10.0.16          2010
20.9.0.17           2009
20.08.0.3           2008
20.07.0.6           2007
20.06.0.7           2006
20.05.0.6           2005
20.02.0.5           2002
20.01.0.14          2001
19.12.0.23          1912
19.10.2.41        1910.2
19.6.0.32           1906
19.3.1.25         1903.1
19.1.0.8            1901
18.12.0.36          1812
18.9.0.323          1809
18.8.0              1808
