Component Name                               Version                  Build Version         GA Date       EOM Date               EOL Date
Citrix Workspace app for HTML5               2211                     22.11.0.20            23-Nov-22                            23-May-24
Citrix Workspace app for HTML5               2210                     22.10.0.22            27-Oct-22     23-Nov-22              27-Apr-24
Citrix Workspace app for HTML5               2209                     22.9.0.26             27-Sep-22     27-Oct-22              27-Mar-24
Citrix Workspace app for HTML5               2208                     22.8.0.10             18-Aug-22     27-Sep-22              18-Feb-24
Citrix Workspace app for HTML5               2207                     22.7.0.1              18-Jul-22     18-Aug-22              18-Jan-24
Citrix Workspace app for HTML5               2206                     22.6.0.28             23-Jun-22     18-Aug-22              23-Dec-23
Citrix Workspace app for HTML5               2205.6                   22.5.6.1              9-Jun-22      23-Jun-22              9-Dec-23
Citrix Workspace app for HTML5               2203.2                   22.3.2.8              4-Apr-22      9-Jun-22               4-Oct-23
Citrix Workspace app for HTML5               2202                     2202.0.4              16-Feb-22     4-Apr-22               16-Aug-23
Citrix Workspace app for HTML5               2201                     22.01.0.4             25-Jan-22     16-Feb-22              25-Jul-23
Citrix Workspace app for HTML5               2112                     21.12.0.7             7-Dec-21      25-Jan-22              7-Jun-23
Citrix Workspace app for HTML5               2111.1                   21.11.1.16            16-Nov-21     7-Dec-21               16-May-23
Citrix Workspace app for HTML5               2110                     21.10.0.8             20-Oct-21     16-Nov-21              20-Apr-23
Citrix Workspace app for HTML5               2109                     21.9.0.7              20-Sep-21     20-Oct-21              20-Mar-23
Citrix Workspace app for HTML5               2108.2                   21.8.2                16-Aug-21     20-Sep-21              16-Feb-23
