Build Version          Version
23.9.0.99              2309
23.7.1.18              2307.1
23.7.0.15              2307
23.5.1.83              2305.1
23.3.0.5               2303
23.2.0.38              2302
22.12.0.48             2212
22.10.5.14             2210.5
22.10.0.21             2210
22.90.28               2209
22.7.0.24              2207
22.6.0.60              2206
22.5.0.18              2205
22.4.0.55              2204.1
22.20.4525             2202
21.12.1.4030           2112.1
21.9.1.4048            2109.1
21.9.0.4044            2109
21.8.0.4026            2108
21.7.0.44              2107
21.6.0.47              2106
21.5.0.48              2105
21.3.1.25              2103.1
21.02.0.25             2102
20.12.1.42             2012.1
20.12.0.39             2012
20.10.0.20             2010
20.9.6.34              2009.6
20.9.0.3               2009
20.8.0.46              2008
20.6.0.38              2006.1
20.2.0.25              2002
19.12.1001.3           1912 LTSR CU1
19.12.2000.7           1912 LTSR CU2
19.12.3000.6           1912 LTSR CU3
19.12.4000.19          1912 LTSR CU4
19.12.5000.3           1912 LTSR CU5
19.12.6000.9           1912 LTSR CU6
19.12.7000.10          1912 LTSR CU7
19.12.0.119            1912 LTSR V3
19.11.0.50             1911
19.9.0.21              1909
19.7.0.15              1907
19.5.0.26              1905
19.4.1.41              1904.1
19.3.0.4               1903
19.2.0.10              1902
18.12.0.12             1812
18.10.0.20023          1810
18.9.0.19526           1809
18.8.0.19031           1808
